,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
3766,71.2,4.7,13.8,8,87,1.3,0,75.4,1.9,10.1,3,86.8,1.6,0.1,74.3,0,17.4,-0.5,56.5,2.7,12
3767,75.4,1.9,10.1,3,86.8,1.6,0.1,74.3,0,17.4,-0.5,56.5,2.7,12,64.2,0,16.6,3,56.5,3.8,6.6
3768,74.3,0,17.4,-0.5,56.5,2.7,12,64.2,0,16.6,3,56.5,3.8,6.6,54.6,0,17.5,5.9,37,4.4,10.9
3769,64.2,0,16.6,3,56.5,3.8,6.6,54.6,0,17.5,5.9,37,4.4,10.9,49.9,0,21.9,1,57.3,1.6,9
3770,54.6,0,17.5,5.9,37,4.4,10.9,49.9,0,21.9,1,57.3,1.6,9,36.4,0.9,16.9,8.5,83.3,1.2,0
3771,49.9,0,21.9,1,57.3,1.6,9,36.4,0.9,16.9,8.5,83.3,1.2,0,56.9,0,24.4,7.1,65.8,1.1,9.3
3772,36.4,0.9,16.9,8.5,83.3,1.2,0,56.9,0,24.4,7.1,65.8,1.1,9.3,43.2,0,29.3,5.3,48,1.4,12.4
3773,56.9,0,24.4,7.1,65.8,1.1,9.3,43.2,0,29.3,5.3,48,1.4,12.4,47.9,7.5,17.7,8.2,61,4,3.7
3774,43.2,0,29.3,5.3,48,1.4,12.4,47.9,7.5,17.7,8.2,61,4,3.7,46.8,3.8,13.9,7.8,71,3.6,0.3
3775,47.9,7.5,17.7,8.2,61,4,3.7,46.8,3.8,13.9,7.8,71,3.6,0.3,46.6,13,12.1,8.8,85.3,2.7,0
3776,46.8,3.8,13.9,7.8,71,3.6,0.3,46.6,13,12.1,8.8,85.3,2.7,0,91.9,0.4,13.3,8.6,87.8,1.3,0
3777,46.6,13,12.1,8.8,85.3,2.7,0,91.9,0.4,13.3,8.6,87.8,1.3,0,82.5,0,19.7,7.8,69.5,2.3,9.2
3778,91.9,0.4,13.3,8.6,87.8,1.3,0,82.5,0,19.7,7.8,69.5,2.3,9.2,65.1,0,22.8,5.8,70.8,0.9,7.3
3779,82.5,0,19.7,7.8,69.5,2.3,9.2,65.1,0,22.8,5.8,70.8,0.9,7.3,60.2,2.7,22.4,10.6,79,1.3,5.8
3780,65.1,0,22.8,5.8,70.8,0.9,7.3,60.2,2.7,22.4,10.6,79,1.3,5.8,73,0,21,11.9,80.3,1.8,4.4
3781,60.2,2.7,22.4,10.6,79,1.3,5.8,73,0,21,11.9,80.3,1.8,4.4,62.6,0,27.6,10,71.5,1.4,8.9
3782,73,0,21,11.9,80.3,1.8,4.4,62.6,0,27.6,10,71.5,1.4,8.9,51.5,4,26,13.4,77.3,1.3,3.2
3783,62.6,0,27.6,10,71.5,1.4,8.9,51.5,4,26,13.4,77.3,1.3,3.2,195.9,62.8,21.2,15.3,84.5,2,3.2
3784,51.5,4,26,13.4,77.3,1.3,3.2,195.9,62.8,21.2,15.3,84.5,2,3.2,129.2,0,27.2,13.4,71.8,1.5,9.7
3785,195.9,62.8,21.2,15.3,84.5,2,3.2,129.2,0,27.2,13.4,71.8,1.5,9.7,120.1,18.3,19.6,12.2,90.8,1.2,0.4
3786,129.2,0,27.2,13.4,71.8,1.5,9.7,120.1,18.3,19.6,12.2,90.8,1.2,0.4,208.8,9.3,23.8,10.6,74.8,2,5.4
3787,120.1,18.3,19.6,12.2,90.8,1.2,0.4,208.8,9.3,23.8,10.6,74.8,2,5.4,190.2,0,26.4,9.6,69.3,1.1,9.3
3788,208.8,9.3,23.8,10.6,74.8,2,5.4,190.2,0,26.4,9.6,69.3,1.1,9.3,148.8,0,24.6,10.1,64.8,1.6,10.3
3789,190.2,0,26.4,9.6,69.3,1.1,9.3,148.8,0,24.6,10.1,64.8,1.6,10.3,111.3,5,24.5,12.6,75,1,2
3790,148.8,0,24.6,10.1,64.8,1.6,10.3,111.3,5,24.5,12.6,75,1,2,106.1,4.5,17,12.8,84,1.8,0
3791,111.3,5,24.5,12.6,75,1,2,106.1,4.5,17,12.8,84,1.8,0,96.5,2,22,12.5,74,2.1,2.9
3792,106.1,4.5,17,12.8,84,1.8,0,96.5,2,22,12.5,74,2.1,2.9,86.3,3,21,14.1,57.5,4.3,10.6
3793,96.5,2,22,12.5,74,2.1,2.9,86.3,3,21,14.1,57.5,4.3,10.6,66.1,0,18.1,10.5,60.8,2.6,2.8
3794,86.3,3,21,14.1,57.5,4.3,10.6,66.1,0,18.1,10.5,60.8,2.6,2.8,70.5,0,20.6,12.5,67.3,1.6,4.1
3795,66.1,0,18.1,10.5,60.8,2.6,2.8,70.5,0,20.6,12.5,67.3,1.6,4.1,65.9,0,23.8,8,74.8,1.6,7.9
3796,70.5,0,20.6,12.5,67.3,1.6,4.1,65.9,0,23.8,8,74.8,1.6,7.9,61.2,1.4,20.8,9.6,75.8,1.6,9.4
3797,65.9,0,23.8,8,74.8,1.6,7.9,61.2,1.4,20.8,9.6,75.8,1.6,9.4,54.4,0,22.7,9.2,73.8,1.3,6.8
3798,61.2,1.4,20.8,9.6,75.8,1.6,9.4,54.4,0,22.7,9.2,73.8,1.3,6.8,40.6,0,25.5,10.6,72,1.5,8.1
3799,54.4,0,22.7,9.2,73.8,1.3,6.8,40.6,0,25.5,10.6,72,1.5,8.1,43.1,0,26.2,11.2,60,1.6,11
3800,40.6,0,25.5,10.6,72,1.5,8.1,43.1,0,26.2,11.2,60,1.6,11,38.8,0,25.7,11.8,65,1.5,5.5
3801,43.1,0,26.2,11.2,60,1.6,11,38.8,0,25.7,11.8,65,1.5,5.5,36,0,25.4,15.7,78.3,0.8,3.2
3802,38.8,0,25.7,11.8,65,1.5,5.5,36,0,25.4,15.7,78.3,0.8,3.2,37.6,0.2,23.2,15.7,84.5,1,0
3803,36,0,25.4,15.7,78.3,0.8,3.2,37.6,0.2,23.2,15.7,84.5,1,0,47.7,14.8,19.3,14.4,87.3,1.9,0
3804,37.6,0.2,23.2,15.7,84.5,1,0,47.7,14.8,19.3,14.4,87.3,1.9,0,50.8,1.4,16.1,14.2,88.8,2.1,0
3805,47.7,14.8,19.3,14.4,87.3,1.9,0,50.8,1.4,16.1,14.2,88.8,2.1,0,45.8,0,26.7,14,76.5,1.1,7.9
3806,50.8,1.4,16.1,14.2,88.8,2.1,0,45.8,0,26.7,14,76.5,1.1,7.9,36.5,0,26.7,12.9,76.8,1.1,7.4
3807,45.8,0,26.7,14,76.5,1.1,7.9,36.5,0,26.7,12.9,76.8,1.1,7.4,37.5,0,28.5,13.8,72.8,1.2,9.4
3808,36.5,0,26.7,12.9,76.8,1.1,7.4,37.5,0,28.5,13.8,72.8,1.2,9.4,31.9,0,27.7,13.5,70.8,1.5,9
3809,37.5,0,28.5,13.8,72.8,1.2,9.4,31.9,0,27.7,13.5,70.8,1.5,9,31.7,0,28.3,14.8,73.8,0.9,9.1
3810,31.9,0,27.7,13.5,70.8,1.5,9,31.7,0,28.3,14.8,73.8,0.9,9.1,26.2,0,30.9,16.5,71.5,1.2,7.6
3811,31.7,0,28.3,14.8,73.8,0.9,9.1,26.2,0,30.9,16.5,71.5,1.2,7.6,35.2,32.5,21.4,16,89.5,1.4,0
3812,26.2,0,30.9,16.5,71.5,1.2,7.6,35.2,32.5,21.4,16,89.5,1.4,0,91.8,4,18.7,15.7,81.3,2.4,0.3
3813,35.2,32.5,21.4,16,89.5,1.4,0,91.8,4,18.7,15.7,81.3,2.4,0.3,65.7,0,26,16,69,3.2,7.1
3814,91.8,4,18.7,15.7,81.3,2.4,0.3,65.7,0,26,16,69,3.2,7.1,58.1,0,26.8,14.2,76.8,1.8,7
3815,65.7,0,26,16,69,3.2,7.1,58.1,0,26.8,14.2,76.8,1.8,7,43.4,0.7,26.6,16.6,80,1.2,6.5
3816,58.1,0,26.8,14.2,76.8,1.8,7,43.4,0.7,26.6,16.6,80,1.2,6.5,36.8,0,30.3,15.2,76.3,1,8.7
3817,43.4,0.7,26.6,16.6,80,1.2,6.5,36.8,0,30.3,15.2,76.3,1,8.7,38.5,0,26.6,18.2,80,1.1,1.4
3818,36.8,0,30.3,15.2,76.3,1,8.7,38.5,0,26.6,18.2,80,1.1,1.4,39,9,22.6,17.8,89,1.3,0
3819,38.5,0,26.6,18.2,80,1.1,1.4,39,9,22.6,17.8,89,1.3,0,53.2,0,28.3,16,73.5,1.4,10.7
3820,39,9,22.6,17.8,89,1.3,0,53.2,0,28.3,16,73.5,1.4,10.7,37.5,0,29.8,15.7,76.8,1.1,11.1
3821,53.2,0,28.3,16,73.5,1.4,10.7,37.5,0,29.8,15.7,76.8,1.1,11.1,47.1,27,22.5,16.8,92.5,0.8,0
3822,37.5,0,29.8,15.7,76.8,1.1,11.1,47.1,27,22.5,16.8,92.5,0.8,0,537.1,63.2,23.4,19.8,91,1.5,0
3823,47.1,27,22.5,16.8,92.5,0.8,0,537.1,63.2,23.4,19.8,91,1.5,0,355.6,4.7,23.4,18.4,88.8,0.6,0.5
3824,537.1,63.2,23.4,19.8,91,1.5,0,355.6,4.7,23.4,18.4,88.8,0.6,0.5,1585.3,79,22.9,17.8,92.8,1.1,0
3825,355.6,4.7,23.4,18.4,88.8,0.6,0.5,1585.3,79,22.9,17.8,92.8,1.1,0,684.9,0,22.9,19,87.5,0.8,0
3826,1585.3,79,22.9,17.8,92.8,1.1,0,684.9,0,22.9,19,87.5,0.8,0,302.6,0.8,27.4,18.8,87,0.7,0.8
3827,684.9,0,22.9,19,87.5,0.8,0,302.6,0.8,27.4,18.8,87,0.7,0.8,575.6,64,23.9,19.2,93,0.9,0
3828,302.6,0.8,27.4,18.8,87,0.7,0.8,575.6,64,23.9,19.2,93,0.9,0,908.1,52.7,23.8,20.6,93.8,1.3,0
3829,575.6,64,23.9,19.2,93,0.9,0,908.1,52.7,23.8,20.6,93.8,1.3,0,1029.2,8.5,21,18.5,90.8,1.5,0
3830,908.1,52.7,23.8,20.6,93.8,1.3,0,1029.2,8.5,21,18.5,90.8,1.5,0,563.4,0,22.2,17.6,78.3,1.3,0
3831,1029.2,8.5,21,18.5,90.8,1.5,0,563.4,0,22.2,17.6,78.3,1.3,0,317,0,25.6,16.3,74,2.2,2.4
3832,563.4,0,22.2,17.6,78.3,1.3,0,317,0,25.6,16.3,74,2.2,2.4,241.4,10,23,16.3,71.5,2.1,0.2
3833,317,0,25.6,16.3,74,2.2,2.4,241.4,10,23,16.3,71.5,2.1,0.2,171.8,0,25,16.7,65.5,2.6,5.4
3834,241.4,10,23,16.3,71.5,2.1,0.2,171.8,0,25,16.7,65.5,2.6,5.4,130.5,0,25.9,13.6,66,2.7,9.7
3835,171.8,0,25,16.7,65.5,2.6,5.4,130.5,0,25.9,13.6,66,2.7,9.7,116,14,20.8,17.8,81.5,1.7,0
3836,130.5,0,25.9,13.6,66,2.7,9.7,116,14,20.8,17.8,81.5,1.7,0,129.4,1.7,24.4,17.2,88.3,1.6,0
3837,116,14,20.8,17.8,81.5,1.7,0,129.4,1.7,24.4,17.2,88.3,1.6,0,121.7,0,24.3,19,87.3,1.1,1.1
3838,129.4,1.7,24.4,17.2,88.3,1.6,0,121.7,0,24.3,19,87.3,1.1,1.1,125.2,0,29.4,18.8,77.8,1,7.8
3839,121.7,0,24.3,19,87.3,1.1,1.1,125.2,0,29.4,18.8,77.8,1,7.8,87.5,0,29.5,20.9,85.8,1,4.9
3840,125.2,0,29.4,18.8,77.8,1,7.8,87.5,0,29.5,20.9,85.8,1,4.9,236.8,59,26.5,21.7,91.5,1.1,0.6
3841,87.5,0,29.5,20.9,85.8,1,4.9,236.8,59,26.5,21.7,91.5,1.1,0.6,267.8,10.5,31.1,22.2,84,1.3,6.5
3842,236.8,59,26.5,21.7,91.5,1.1,0.6,267.8,10.5,31.1,22.2,84,1.3,6.5,176.3,0,33.3,21.2,78.5,1.3,9.8
3843,267.8,10.5,31.1,22.2,84,1.3,6.5,176.3,0,33.3,21.2,78.5,1.3,9.8,126.3,0,32.5,22.3,80,1.1,8.3
3844,176.3,0,33.3,21.2,78.5,1.3,9.8,126.3,0,32.5,22.3,80,1.1,8.3,324.3,29.8,25.8,22.8,90,1,0.3
3845,126.3,0,32.5,22.3,80,1.1,8.3,324.3,29.8,25.8,22.8,90,1,0.3,466.8,18.3,31.5,20.8,84,1.6,6.5
3846,324.3,29.8,25.8,22.8,90,1,0.3,466.8,18.3,31.5,20.8,84,1.6,6.5,353.3,0,28.5,19.6,84.5,1.2,3.9
3847,466.8,18.3,31.5,20.8,84,1.6,6.5,353.3,0,28.5,19.6,84.5,1.2,3.9,231.8,15.1,23.6,20.9,92,1,0
3848,353.3,0,28.5,19.6,84.5,1.2,3.9,231.8,15.1,23.6,20.9,92,1,0,191.5,1.6,24.7,19.8,89.8,0.9,0
3849,231.8,15.1,23.6,20.9,92,1,0,191.5,1.6,24.7,19.8,89.8,0.9,0,188.6,28.8,28.1,21.7,88.5,1,1.7
3850,191.5,1.6,24.7,19.8,89.8,0.9,0,188.6,28.8,28.1,21.7,88.5,1,1.7,217.9,44.5,26.6,19.5,89.3,1,0.6
3851,188.6,28.8,28.1,21.7,88.5,1,1.7,217.9,44.5,26.6,19.5,89.3,1,0.6,2719.6,97.5,27.4,21,90.8,1.2,0.3
3852,217.9,44.5,26.6,19.5,89.3,1,0.6,2719.6,97.5,27.4,21,90.8,1.2,0.3,771.5,0.7,31,20.2,85,1,8.2
3853,2719.6,97.5,27.4,21,90.8,1.2,0.3,771.5,0.7,31,20.2,85,1,8.2,367.4,29,25.7,22.6,93,1,0.5
3854,771.5,0.7,31,20.2,85,1,8.2,367.4,29,25.7,22.6,93,1,0.5,676.1,30.5,27.7,22.9,91,1.5,0.7
3855,367.4,29,25.7,22.6,93,1,0.5,676.1,30.5,27.7,22.9,91,1.5,0.7,688.6,0.5,29.8,21.8,84.8,1,2.2
3856,676.1,30.5,27.7,22.9,91,1.5,0.7,688.6,0.5,29.8,21.8,84.8,1,2.2,345.7,2.9,26.7,23,89.8,1.1,0
3857,688.6,0.5,29.8,21.8,84.8,1,2.2,345.7,2.9,26.7,23,89.8,1.1,0,454.7,60,26.1,21.2,89.8,1.6,0
3858,345.7,2.9,26.7,23,89.8,1.1,0,454.7,60,26.1,21.2,89.8,1.6,0,1030.2,41,26.3,20.6,91.5,0.8,1.1
3859,454.7,60,26.1,21.2,89.8,1.6,0,1030.2,41,26.3,20.6,91.5,0.8,1.1,415,7,26,22.4,90.3,0.8,0
3860,1030.2,41,26.3,20.6,91.5,0.8,1.1,415,7,26,22.4,90.3,0.8,0,302.7,0,29.5,21.2,84.5,0.7,2.8
3861,415,7,26,22.4,90.3,0.8,0,302.7,0,29.5,21.2,84.5,0.7,2.8,252.2,0,32.9,23.3,85.5,1,6.6
3862,302.7,0,29.5,21.2,84.5,0.7,2.8,252.2,0,32.9,23.3,85.5,1,6.6,179.6,0,34.5,22.7,82.5,0.8,8.8
3863,252.2,0,32.9,23.3,85.5,1,6.6,179.6,0,34.5,22.7,82.5,0.8,8.8,137.1,0,34.9,24.1,82.3,0.9,7
3864,179.6,0,34.5,22.7,82.5,0.8,8.8,137.1,0,34.9,24.1,82.3,0.9,7,105.3,0,34.1,23.5,79.5,1,10.5
3865,137.1,0,34.9,24.1,82.3,0.9,7,105.3,0,34.1,23.5,79.5,1,10.5,77.8,0,34.5,22.7,81.3,1,9
3866,105.3,0,34.1,23.5,79.5,1,10.5,77.8,0,34.5,22.7,81.3,1,9,54,0,35,22.4,81.5,0.8,8.9
3867,77.8,0,34.5,22.7,81.3,1,9,54,0,35,22.4,81.5,0.8,8.9,52.4,0,35.2,24.1,78.5,1,7.4
3868,54,0,35,22.4,81.5,0.8,8.9,52.4,0,35.2,24.1,78.5,1,7.4,58.7,0,33.5,23.1,77.8,1.1,7.4
3869,52.4,0,35.2,24.1,78.5,1,7.4,58.7,0,33.5,23.1,77.8,1.1,7.4,44.1,0,33.2,22.2,79,0.7,6.9
3870,58.7,0,33.5,23.1,77.8,1.1,7.4,44.1,0,33.2,22.2,79,0.7,6.9,37.7,0,35.1,23,81.5,1,8.2
3871,44.1,0,33.2,22.2,79,0.7,6.9,37.7,0,35.1,23,81.5,1,8.2,38.6,0,35.6,23,78.5,1.1,10.7
3872,37.7,0,35.1,23,81.5,1,8.2,38.6,0,35.6,23,78.5,1.1,10.7,18.7,0,34.8,23.3,78.5,1.4,7.1
3873,38.6,0,35.6,23,78.5,1.1,10.7,18.7,0,34.8,23.3,78.5,1.4,7.1,39.3,6.6,32.2,22.6,81.8,1,8.8
3874,18.7,0,34.8,23.3,78.5,1.4,7.1,39.3,6.6,32.2,22.6,81.8,1,8.8,32.4,5,31.3,22.7,85.5,0.6,5.9
3875,39.3,6.6,32.2,22.6,81.8,1,8.8,32.4,5,31.3,22.7,85.5,0.6,5.9,45.5,0,32.6,22.2,78.5,1.5,10.3
3876,32.4,5,31.3,22.7,85.5,0.6,5.9,45.5,0,32.6,22.2,78.5,1.5,10.3,24.4,0,33.3,20.2,79,0.9,9.4
3877,45.5,0,32.6,22.2,78.5,1.5,10.3,24.4,0,33.3,20.2,79,0.9,9.4,14,0,34,22.3,79.8,0.9,6.9
3878,24.4,0,33.3,20.2,79,0.9,9.4,14,0,34,22.3,79.8,0.9,6.9,54.3,33.2,28.3,22.9,92,0.9,1.1
3879,14,0,34,22.3,79.8,0.9,6.9,54.3,33.2,28.3,22.9,92,0.9,1.1,33.7,0,32.6,22.6,79.3,1,10.4
3880,54.3,33.2,28.3,22.9,92,0.9,1.1,33.7,0,32.6,22.6,79.3,1,10.4,34.4,3.3,27,19.5,91.5,0.8,0
3881,33.7,0,32.6,22.6,79.3,1,10.4,34.4,3.3,27,19.5,91.5,0.8,0,58.3,20.2,30.6,18.4,76.8,0.9,9.8
3882,34.4,3.3,27,19.5,91.5,0.8,0,58.3,20.2,30.6,18.4,76.8,0.9,9.8,47.4,0,29.7,17.9,73,1.7,8.9
3883,58.3,20.2,30.6,18.4,76.8,0.9,9.8,47.4,0,29.7,17.9,73,1.7,8.9,32.1,2.5,25,21.5,91.8,0.4,0
3884,47.4,0,29.7,17.9,73,1.7,8.9,32.1,2.5,25,21.5,91.8,0.4,0,71.2,14.8,26.4,22.5,94.5,0.8,0
3885,32.1,2.5,25,21.5,91.8,0.4,0,71.2,14.8,26.4,22.5,94.5,0.8,0,404.2,84,24,22,95.8,1,0
3886,71.2,14.8,26.4,22.5,94.5,0.8,0,404.2,84,24,22,95.8,1,0,360,2.7,32.5,22,87.5,1.5,3.5
3887,404.2,84,24,22,95.8,1,0,360,2.7,32.5,22,87.5,1.5,3.5,172.3,0,30,22.2,74,3.3,10.6
3888,360,2.7,32.5,22,87.5,1.5,3.5,172.3,0,30,22.2,74,3.3,10.6,112.7,0,30.5,19.4,82,1,8.5
3889,172.3,0,30,22.2,74,3.3,10.6,112.7,0,30.5,19.4,82,1,8.5,77.5,0,30.8,19.6,84.8,0.8,7
3890,112.7,0,30.5,19.4,82,1,8.5,77.5,0,30.8,19.6,84.8,0.8,7,61.6,0,31.8,20.2,80,1,7.1
3891,77.5,0,30.8,19.6,84.8,0.8,7,61.6,0,31.8,20.2,80,1,7.1,57.4,0,30.7,21.2,77.3,1.5,7.7
3892,61.6,0,31.8,20.2,80,1,7.1,57.4,0,30.7,21.2,77.3,1.5,7.7,47.4,0,31.5,21.2,79.8,1.2,8.2
3893,57.4,0,30.7,21.2,77.3,1.5,7.7,47.4,0,31.5,21.2,79.8,1.2,8.2,24.1,0,31.9,20.8,82.8,0.9,8.4
3894,47.4,0,31.5,21.2,79.8,1.2,8.2,24.1,0,31.9,20.8,82.8,0.9,8.4,35.7,0,31.7,21.1,81,0.8,6.9
3895,24.1,0,31.9,20.8,82.8,0.9,8.4,35.7,0,31.7,21.1,81,0.8,6.9,129.8,40.8,23.3,20.3,94,0.8,0
3896,35.7,0,31.7,21.1,81,0.8,6.9,129.8,40.8,23.3,20.3,94,0.8,0,1636.3,82.5,20.5,18.4,95.8,2.1,0
3897,129.8,40.8,23.3,20.3,94,0.8,0,1636.3,82.5,20.5,18.4,95.8,2.1,0,1226.3,19,30.6,19.5,88.3,1.4,3.6
3898,1636.3,82.5,20.5,18.4,95.8,2.1,0,1226.3,19,30.6,19.5,88.3,1.4,3.6,1235.6,5.5,25.3,18.8,77.5,1.3,1.9
3899,1226.3,19,30.6,19.5,88.3,1.4,3.6,1235.6,5.5,25.3,18.8,77.5,1.3,1.9,413.9,0,28.2,16.2,80.8,1.2,9.5
3900,1235.6,5.5,25.3,18.8,77.5,1.3,1.9,413.9,0,28.2,16.2,80.8,1.2,9.5,252.3,0,28.2,18.3,82.8,0.8,6.3
3901,413.9,0,28.2,16.2,80.8,1.2,9.5,252.3,0,28.2,18.3,82.8,0.8,6.3,167.7,0,26,19.4,87.8,0.7,0
3902,252.3,0,28.2,18.3,82.8,0.8,6.3,167.7,0,26,19.4,87.8,0.7,0,120.3,0,31.3,19.4,79.3,1.5,9.6
3903,167.7,0,26,19.4,87.8,0.7,0,120.3,0,31.3,19.4,79.3,1.5,9.6,99.9,0,29.5,20.1,87.3,1,6.3
3904,120.3,0,31.3,19.4,79.3,1.5,9.6,99.9,0,29.5,20.1,87.3,1,6.3,106.8,23.2,27.1,22.1,89,1.1,0.2
3905,99.9,0,29.5,20.1,87.3,1,6.3,106.8,23.2,27.1,22.1,89,1.1,0.2,747.9,145,23,16.3,96,1.7,0
3906,106.8,23.2,27.1,22.1,89,1.1,0.2,747.9,145,23,16.3,96,1.7,0,7062.6,213,18.5,15.8,96.8,2,0
3907,747.9,145,23,16.3,96,1.7,0,7062.6,213,18.5,15.8,96.8,2,0,2494.8,0,25.8,16.3,81.3,1.4,7.3
3908,7062.6,213,18.5,15.8,96.8,2,0,2494.8,0,25.8,16.3,81.3,1.4,7.3,504.2,0,27,13.9,72.8,1.9,10.6
3909,2494.8,0,25.8,16.3,81.3,1.4,7.3,504.2,0,27,13.9,72.8,1.9,10.6,288.2,0,22.4,13.5,80,1.4,2.4
3910,504.2,0,27,13.9,72.8,1.9,10.6,288.2,0,22.4,13.5,80,1.4,2.4,166.2,0,27,15.3,80.5,1.1,8.7
3911,288.2,0,22.4,13.5,80,1.4,2.4,166.2,0,27,15.3,80.5,1.1,8.7,51.4,0,26.1,13.4,78.3,1,6
3912,166.2,0,27,15.3,80.5,1.1,8.7,51.4,0,26.1,13.4,78.3,1,6,38.1,0,23.8,14.8,82.3,1.6,1
3913,51.4,0,26.1,13.4,78.3,1,6,38.1,0,23.8,14.8,82.3,1.6,1,65.6,0,22.6,8.1,71.5,1.3,10.7
3914,38.1,0,23.8,14.8,82.3,1.6,1,65.6,0,22.6,8.1,71.5,1.3,10.7,63.3,0,24,7.2,73.5,1.8,10.3
3915,65.6,0,22.6,8.1,71.5,1.3,10.7,63.3,0,24,7.2,73.5,1.8,10.3,67.9,0,25.8,10.9,78.3,0.9,7.5
3916,63.3,0,24,7.2,73.5,1.8,10.3,67.9,0,25.8,10.9,78.3,0.9,7.5,54.7,0,27.3,12.7,81.8,0.9,5.7
3917,67.9,0,25.8,10.9,78.3,0.9,7.5,54.7,0,27.3,12.7,81.8,0.9,5.7,50.7,0,27.2,14.1,84.5,1.1,5.7
3918,54.7,0,27.3,12.7,81.8,0.9,5.7,50.7,0,27.2,14.1,84.5,1.1,5.7,60.7,2.7,23,15.4,86.5,1.5,1
3919,50.7,0,27.2,14.1,84.5,1.1,5.7,60.7,2.7,23,15.4,86.5,1.5,1,48,1,22.5,15.4,77.8,1.4,3.7
3920,60.7,2.7,23,15.4,86.5,1.5,1,48,1,22.5,15.4,77.8,1.4,3.7,48,0,24,12.4,70.8,2,10.7
3921,48,1,22.5,15.4,77.8,1.4,3.7,48,0,24,12.4,70.8,2,10.7,46.6,0,24.4,11.3,71.5,2.4,10.6
3922,48,0,24,12.4,70.8,2,10.7,46.6,0,24.4,11.3,71.5,2.4,10.6,36.3,0,22.9,11,80.5,1.1,5.7
3923,46.6,0,24.4,11.3,71.5,2.4,10.6,36.3,0,22.9,11,80.5,1.1,5.7,31.6,0,25.8,13.6,82.3,1.1,5.7
3924,36.3,0,22.9,11,80.5,1.1,5.7,31.6,0,25.8,13.6,82.3,1.1,5.7,31,0,25.2,12,78.5,1.4,7.5
3925,31.6,0,25.8,13.6,82.3,1.1,5.7,31,0,25.2,12,78.5,1.4,7.5,24,0,24,13.7,78.5,1.1,5.1
3926,31,0,25.2,12,78.5,1.4,7.5,24,0,24,13.7,78.5,1.1,5.1,30.8,0,23,10.2,76.8,1,5.8
3927,24,0,24,13.7,78.5,1.1,5.1,30.8,0,23,10.2,76.8,1,5.8,21.4,0,23,7.1,77.3,0.8,8.2
3928,30.8,0,23,10.2,76.8,1,5.8,21.4,0,23,7.1,77.3,0.8,8.2,26.1,0,21.6,7.5,79.5,0.8,4.8
3929,21.4,0,23,7.1,77.3,0.8,8.2,26.1,0,21.6,7.5,79.5,0.8,4.8,16.4,0.6,23.8,11.3,81,0.9,9.8
3930,26.1,0,21.6,7.5,79.5,0.8,4.8,16.4,0.6,23.8,11.3,81,0.9,9.8,20.2,0,24.2,10.8,82.8,0.7,6.5
3931,16.4,0.6,23.8,11.3,81,0.9,9.8,20.2,0,24.2,10.8,82.8,0.7,6.5,16.8,0,25,11.2,78.8,1,5.4
3932,20.2,0,24.2,10.8,82.8,0.7,6.5,16.8,0,25,11.2,78.8,1,5.4,27.2,0,25,10,80.3,1.9,10.1
3933,16.8,0,25,11.2,78.8,1,5.4,27.2,0,25,10,80.3,1.9,10.1,25.7,0,19.4,9.9,78,2,6.1
3934,27.2,0,25,10,80.3,1.9,10.1,25.7,0,19.4,9.9,78,2,6.1,11.9,3.7,15.9,5.9,71.5,1.7,7.6
3935,25.7,0,19.4,9.9,78,2,6.1,11.9,3.7,15.9,5.9,71.5,1.7,7.6,21.2,0,18.5,4.7,73.5,1,7
3936,11.9,3.7,15.9,5.9,71.5,1.7,7.6,21.2,0,18.5,4.7,73.5,1,7,29.1,0,17.3,6.2,80,0.6,4.9
3937,21.2,0,18.5,4.7,73.5,1,7,29.1,0,17.3,6.2,80,0.6,4.9,18,0,20,7.5,75.5,0.9,5.6
3938,29.1,0,17.3,6.2,80,0.6,4.9,18,0,20,7.5,75.5,0.9,5.6,9,0,19.1,8.8,83.8,0.9,0
3939,18,0,20,7.5,75.5,0.9,5.6,9,0,19.1,8.8,83.8,0.9,0,31,0,23.7,12.2,81.3,1.2,6.8
3940,9,0,19.1,8.8,83.8,0.9,0,31,0,23.7,12.2,81.3,1.2,6.8,21,0,21.1,9.6,86,0.5,3.1
3941,31,0,23.7,12.2,81.3,1.2,6.8,21,0,21.1,9.6,86,0.5,3.1,17.2,8.5,21.6,11,82.3,1.7,6.3
3942,21,0,21.1,9.6,86,0.5,3.1,17.2,8.5,21.6,11,82.3,1.7,6.3,15,0,15.9,4.8,73,1.8,7.9
3943,17.2,8.5,21.6,11,82.3,1.7,6.3,15,0,15.9,4.8,73,1.8,7.9,24.1,0,17.9,1.7,77.3,1,7.6
3944,15,0,15.9,4.8,73,1.8,7.9,24.1,0,17.9,1.7,77.3,1,7.6,10,0,21,3.3,79,0.8,6.4
3945,24.1,0,17.9,1.7,77.3,1,7.6,10,0,21,3.3,79,0.8,6.4,13.6,0,20.2,5.5,82.5,0.7,5.9
3946,10,0,21,3.3,79,0.8,6.4,13.6,0,20.2,5.5,82.5,0.7,5.9,15.6,0,23,5.7,69.5,1,7.8
