,inflow,outflow,precipitation,temp_max,temp_min,humidity,wind,solar
1980-03-27,4.4,46.8,0,16.3,-4,55.3,1.2,10.9
1980-03-28,4.9,42.6,0,18,-1.7,53.3,0.8,11.4
1980-03-29,12.2,49.9,0,18.6,3,51.3,0.5,6.5
1980-03-30,11.7,35.3,0,20.4,-0.1,61.8,0.7,8.8
1980-03-31,17.6,55.3,3.6,10.4,2.9,80.8,2,0
1980-04-01,17.6,74.2,0,12.4,0.9,58.3,2.9,8.5
1980-04-02,13.8,60.9,0,13.5,-2.3,35.3,1.7,11.3
1980-04-03,9.6,56.7,0,20.2,-1.1,54,1.5,10.1
1980-04-04,12,63.8,0,22.2,3.4,63.5,1.1,5.6
1980-04-05,83.9,27.3,75.8,17.6,13.6,83.5,0.8,0
1980-04-06,696.1,0,19.7,14.6,4.6,77,3.1,0
1980-04-07,226.1,0,0,14,0.9,76.3,0.7,6.5
1980-04-08,129.7,6.8,0,15.4,7.1,73.5,1.4,2.4
1980-04-09,91.6,27.7,0,18,2.9,63,2.1,11.2
1980-04-10,54.7,10.5,0,18.3,1.9,53.8,2.3,12
1980-04-11,55.1,1,0,19.3,2.9,60.5,1.4,8.6
1980-04-12,64.9,1,15.5,12.8,6.4,75,3.1,0
1980-04-13,101,1,12.4,11,4.8,84,2.1,0
1980-04-14,96.3,1,5.4,7.5,2.4,65.3,3.3,0
1980-04-15,92.8,7.5,0,12.4,0.1,55,2.1,9.3
1980-04-16,81.7,16.5,4.9,10.3,2.5,75,1.7,3.5
1980-04-17,75.6,0.3,0,12.2,3.9,75.8,1.2,6.6
1980-04-18,70.7,0.5,0,18.8,1.6,66.5,1.5,3.5
1980-04-19,209.8,0.5,35,19.6,5.1,69.5,5.2,0
1980-04-20,437.7,0.5,0,13.6,3.1,38.5,4,5.6
1980-04-21,246,0.5,0,15.8,1.1,49.5,3.2,11.6
1980-04-22,146.8,0.5,0,16.4,0.8,53,2.1,9.3
1980-04-23,101.4,0.5,0,14,0.5,43.5,3.8,10.8
1980-04-24,80.5,0.5,0,15.6,0.4,46.8,2.7,12.1
1980-04-25,64.5,0.5,0,18.4,0.6,45.8,2.2,12.2
1980-04-26,53.9,0.5,0,20.2,1.6,56,0.6,8.6
1980-04-27,64.5,0.5,16.5,10.7,7,84.3,1.3,0
1980-04-28,64.5,0.5,0,14.8,5,79.8,1.2,2.2
1980-04-29,64.5,0.5,0,18.7,3.6,69.3,0.8,5.4
1980-04-30,48.5,0.5,0,21.6,5.7,64.3,2.2,11.4
1980-05-01,49.2,0.5,0,22.8,4.9,53,1.8,11.7
1980-05-02,44.1,0.5,0,24,5.4,41.5,2.9,12.1
1980-05-03,42.3,4.2,2.7,19.3,7.8,72,0.6,0.9
1980-05-04,44.1,0.5,4.6,21.8,12.6,54,3.9,6.7
1980-05-05,38.6,0.5,0,19.4,4.8,43.5,3.8,7.3
1980-05-06,39.5,39.5,0,21,5.6,43.5,1.4,12
1980-05-07,15.9,48.6,0,23.1,5.7,55.3,1.4,11.5
1980-05-08,19.7,41.5,0,22,6.1,55.8,1.4,9.9
1980-05-09,22.4,6.1,0,21.8,7.8,63.8,1.5,7.2
1980-05-10,36.2,19.9,0,25.1,6.2,54,2.6,12.4
1980-05-11,22.6,1,0,28.1,7.7,54.8,1.7,12.5
1980-05-12,31.1,20.1,22,15,12.2,88.3,1.1,0
1980-05-13,41.5,30.6,1.2,20.8,13.9,77,1.9,2.8
1980-05-14,41.2,63,9,21.8,12,79.8,1.8,3
1980-05-15,39.6,50.5,0,24,12.2,52.5,2.1,10.9
